Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
3944.562,3443.3923125,4232.099400000001,4286.8444,3354.0368
3948.3983,4332.4305,3404.64468,4290.486015,3371.2388
3804.3197225,4291.516,4295.1847,4102.7914,3365.1049000000003
3407.0993175000003,4275.037,4308.53833,4105.957340000001,3373.1513000000004
3406.794180000001,3947.0419000000006,4301.060020000001,3385.5178000000005,3365.762
3410.8951725000006,3451.114445,3398.9758,3384.6399,3351.6977000000006
3947.8766,3443.447145,4295.007745000001,4227.220700000001,3363.9112000000005
3944.9378,4746.023450000001,3367.9727,3363.9448,3360.8398
3959.0745000000006,4253.267,3395.6073000000006,4127.9486,3376.7145
3953.8533000000007,4256.876200000001,4307.3845,4258.990435000001,3357.0612
3404.4097075000004,4256.7472,4308.58419,3392.2274099999995,5439.9484
3945.0127,3491.392635,3360.3008000000004,4310.006984999999,3357.9738
3952.5019,4225.474,4277.8922,4078.7973,5444.7232
3946.7268,4791.933950000001,3400.534505000001,3387.3975,3386.9042
4239.7092,4261.630800000001,3393.7989,3386.2606,3320.8891000000003
3399.9992725,4262.1557,4295.313725,4063.3597,3357.956
3404.9326625000003,4297.709000000001,4265.3606,3386.6498,3364.3372
3944.1064000000006,4312.0754,3389.596665,4296.1922,3355.5656
3948.225300000001,3442.5648,4278.0616,3367.9648,3364.2055
3947.9574,4262.121800000001,4267.044400000001,4271.276400000001,3367.4464
3808.044795,4297.8854,4083.8717000000006,3389.6456000000003,3367.9793
3943.5565000000006,4261.6881,4303.940315,3384.2322000000004,3360.2357
3948.6083,4228.4768,3362.3340000000003,4260.2542,3374.905200000001
3947.468,4248.7608,4296.73502,3384.7766,3369.2352
3949.5472,3483.3047875,4108.921700000001,3237.1199,3364.4687000000004
2973.0101000000004,3962.0492,3396.871655,4356.1504,3362.1363
3413.2835475,3485.1537750000007,3388.7111000000004,3380.8263,3357.6761
2952.2901,3452.912780000001,4279.091100000001,4119.8392,3360.4666
3959.4145,1315.6849500000003,3408.2822525,4271.423920000001,3359.1229000000003
3946.1328000000008,4246.4476,4106.660465000001,4255.4709,3363.7073
3799.2335675,4245.975200000001,3365.1100450000004,4270.979400000001,3363.1378000000004
3243.5576550000005,4257.485,4290.798500000001,4282.534395,3376.9494000000004
3411.4858275,4279.5106,3368.632935,3365.4678,3362.8903
3957.5138,1288.4708,3393.900515,3377.5496000000003,3365.8985
3949.5217,4291.8728,3390.0844000000006,3386.9124,3364.1421
3951.1616,4313.8921,3225.0473000000006,4122.0602,3364.6987
3952.250700000001,4259.5133000000005,4327.9503700000005,4275.11692,3368.6818000000003
3944.6229,3446.8234125000004,3386.2994000000003,4413.855,3320.6916
3805.1050125,4260.728,4101.1182,3368.4730999999992,3359.7246000000005
3952.811100000001,4314.0455,4089.9349,2517.875,3366.1343000000006
3409.4108450000003,3456.369307500001,4287.540095,4279.1708,3368.9388
3950.1367,4268.770700000001,3389.2363000000005,4312.018675,3354.4672
3953.4226,4221.4743,4295.7237350000005,3382.6504000000004,3360.3583
3945.4648000000007,4260.1704,3394.724615,4247.4229000000005,3369.7554
3950.4392,3439.569462500001,3390.5339150000004,4254.4854000000005,3351.3450000000003
3408.5244250000005,4305.9462,4224.2154,4236.436245000001,3379.3739000000005
3942.7908,3445.529502500001,4291.0042,4279.1458,3360.4782000000005
3947.481800000001,4299.008500000001,3370.71467,3366.2494000000006,3361.5536
3949.9314,4274.6794,3384.0479,4270.3989,3365.8635000000004
3942.9901,4253.9925,4266.3325,3362.7292,3356.6911
