Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
3754.812,22514.371,4064.0994,4519.8444,22857.0354
2706.5483,22510.279999999995,4296.278,4179.101625,22825.14689999999
3347.0939,22515.115499999996,4137.1847,4156.4914,22834.221950000014
3456.3217000000004,22510.51599999999,4191.63575,4088.3285,22817.63665
4096.2468,22214.851550000007,4186.4355,4532.4178,22819.875999999997
4388.7648500000005,22520.324999999997,4111.6758,4359.58485,22830.48784999999
3605.6766,22521.844000000016,4184.2723750000005,4366.60605,22818.3496
4094.781700000001,22518.128999999997,4062.2727,4365.6672,22818.909899999984
3754.9745,22511.929500000013,4110.8073,4182.7486,22822.043249999988
2706.2533,22514.92650000001,3990.3845,4092.847125,22821.899099999995
3455.1093,22517.637999999984,4047.48725,4390.6644,22830.875700000008
3155.3127,22517.774500000007,4059.5508,4046.973375,22822.673399999985
2707.0019,22521.08499999999,4164.9422,4061.4473,22825.519600000003
3755.2268,22520.03649999999,4132.105100000001,4365.37125,22868.55109999999
4089.5638,22509.9405,4109.7989,4106.8606,22841.090550000004
4095.03085,22516.05649999999,4185.4868750000005,3968.7097,22821.021
4090.69225,22518.026499999996,4160.1106,4531.9998,22830.49409999999
2706.1064,22211.4418,4128.20645,4363.7883,22829.53830000001
3155.8253,22517.22599999999,4115.0616,4059.5148,22829.915749999996
4095.3111,22511.527999999988,4156.294400000001,4367.0646,22843.63969999999
3347.7018,22510.672499999982,4061.6217000000006,4534.3456,22822.17165000001
3154.4565,22518.799000000003,4336.484125,4099.1822,22819.552849999996
3155.1583,22516.26950000001,4062.134,4004.4542,22831.1901
3603.968,22511.197999999997,4184.3105,4361.439899999999,22828.436100000006
2708.1472,22511.956,4165.9217,4126.9199,22819.138349999987
3606.0101,22222.055400000005,4130.912625,4157.1504,22816.805150000004
4087.24235,22514.7685,4106.9111,4364.58945,22817.093050000003
3155.2901,22513.62599999999,3970.0911,4122.8392,22822.106800000005
3457.1645,22513.643000000004,4140.002125,4390.272800000001,22826.605949999997
3754.9328,22514.22300000001,4088.250375,4363.38135,22830.86814999999
2444.4577,22510.408,4090.02585,4160.2294,22818.2699
3647.5311,22518.781,4181.6985,4391.721799999999,22825.436700000013
4093.79515,22509.9075,4083.2637,4060.3178,22842.98865000001
3754.2138,22517.50850000001,4135.806949999999,4367.0994,22828.88775
3456.9717,22509.3925,4508.5344000000005,4124.512,22824.82555
3455.4115999999995,22509.21550000001,4105.347299999999,3951.0602,22845.44035
2705.5007,22516.1295,4404.9681,4158.432999999999,22824.936900000008
2704.1729,22511.74999999998,4103.3494,4107.855,23129.929599999992
2446.9255,22514.142999999996,3959.1182,4669.984649999999,22819.86430000001
3754.3611,22524.79399999999,4067.2349,4361.2875,22827.20765000001
3629.04975,22516.90199999999,4179.943625,4164.5708,22847.6569
2703.6367,22516.700500000003,4106.3363,4391.637000000001,22817.40509999999
3605.2726,22518.516999999996,4184.204625,4360.7256,22877.55814999999
3603.2648,22516.30100000001,4392.0373,4363.00935,22825.43519999999
2705.8892,22510.77600000001,4131.04895,4364.0781,22813.10450000001
4094.9505,22521.107,4061.2154,4081.109875,22847.857950000005
3605.3408,22510.2175,4184.705,4172.245800000001,22838.55710000001
2706.5818,22510.95299999999,4233.939249999999,4362.5241000000005,22817.85480000001
3636.10175,22514.760999999988,4104.2979,4164.0489,22821.985250000005
3605.0901,22513.33349999999,4157.782499999999,4058.679200000001,22817.38005000001
