Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
3607.54425,131730.04169999989,4160.625075,4199.2849,131903.5504000001
3604.77915,131880.05970000016,4156.6261,4372.85385,131899.7869249999
3607.0809,131755.29049999997,4188.212600000001,4066.954,131902.06640000007
3046.97135,131886.3736500001,4108.0129,4097.4864,132083.82054999995
3606.3045,131751.91019999993,4963.7643,4167.441,131895.71627499996
7655.7045,131726.04130000004,4193.9462250000015,4149.4321,131888.40245000005
4659.5712,131782.4880999999,4103.462000000001,4358.50035,132065.014775
3606.45555,131776.19959999988,4155.943649999999,4535.866399999999,131965.361225
3053.7312500000003,131902.80122499994,4663.7708,4275.510825,131902.4167
3608.8089,131946.6820250001,4282.934300000001,4218.9171,132196.80785000013
3607.8825,131821.4920000002,4165.8235,4163.0504,132185.8719749999
3606.5739,131887.19485000017,4138.2125,4538.1294,131899.43802500016
3607.88655,131765.5897999999,4106.5306,5257.5335,132046.86870000005
3605.26095,131736.63159999982,4279.661775,4146.5027,131879.8103999999
3606.708000000001,131920.96295000013,4141.1515,4364.643,131905.07320000007
3757.23465,131881.1118750001,4155.4735,4207.3697250000005,131895.8555999999
3604.2987,131888.22472499998,4159.294475000001,4165.3358,131910.9340500002
3606.3111,131764.89579999988,4286.291275,4364.16195,131898.02310000017
3054.2111,131771.40810000012,4286.678075,4518.7436,131905.93197499993
3051.02685,131776.43600000002,4099.2929,4057.1894,131904.45237499982
3605.00175,131750.86609999998,4164.388274999999,4058.7982,131901.84962499997
3607.31865,131748.61930000002,4266.579825000001,4063.0102,132123.9581499999
3607.5579,131821.9739000001,4342.049225000001,4156.414125,131886.90457500005
4658.50575,131869.72392499994,4120.6762,4164.0279,131898.9945749999
3605.87235,131777.228,4212.619549999999,4363.3014,131906.87617499987
3606.84375,131889.921525,4063.2006,4157.5898,131983.1623250001
3607.19025,131785.15629999992,4069.0404,4099.642,132089.71762500005
3046.3753,131963.072375,4277.920875,4226.072199999999,131895.29830000002
3605.3232,131730.17630000008,4292.558150000001,4150.4704,132097.94162500012
4508.616,131768.25600000005,5262.2492,4153.6992,131896.02454999991
3906.9306,131757.02889999992,4061.3341,4364.53545,131898.86120000004
3052.00765,131743.9516999999,4094.2875,4147.04125,132251.1590000001
3606.9924,131762.54189999992,4161.898799999999,4142.6267,132121.81252500013
3608.4168,131741.37480000017,4156.0907,5258.909299999999,132159.53085000007
3046.7126,131757.72509999992,4349.901775,4160.7858,131928.37597500003
3813.2854,131883.71687499998,4387.9607750000005,4367.44845,131948.2271999999
3056.84505,131762.57689999993,4105.52,4517.2566,131941.57390000008
3051.59655,131749.8741999999,4173.1802,4956.715899999999,132203.9758250001
3605.36625,131727.03020000004,4063.5767,4135.5778,132071.2323749998
3609.0246,131734.34870000015,4061.8247,4147.07145,131924.5729999999
3052.5473,131742.4154000001,4172.0901,4327.7475,132126.83494999993
3049.20425,131749.7587000001,4060.1735,4056.6322,131900.0349499998
3605.51865,131917.74964999987,4147.9784,4102.621200000001,132160.09430000006
3358.13365,131798.4193000001,4155.439499999999,4538.622200000001,132024.42704999985
3757.65405,131748.5473,4209.3457,4218.690975,132222.49092500014
3606.75735,131885.82475000012,4114.3431,4248.327475,132083.58509999997
3607.00155,131781.50360000008,4151.666,4147.4518,132123.69022499997
3906.5352,131913.68507500013,4103.45,4056.9786,132093.8409999999
4657.985549999999,131739.74170000013,4109.234499999999,4095.7481,132092.73610000004
3756.44985,131916.23169999995,4335.98795,4145.167,131899.3927000001
