,Gatsby - SSG,Gatsby - SSR,Next.js - SSG,Next.js - SSR,Remix - SSR
Speed Index,0.8660687083024938,0.8660687083024938,0.8321188149370361,0.836275944736888,0.8660687083024938
Largest Contentful Paint,0.8660687083024938,0.8660687083024938,0.8660687083024938,0.8660687083024938,0.8660687083024938
First Contentful Paint,0.8660687083024938,0.8660687083024938,0.8321188149370361,0.836275944736888,0.8660687083024938
Time to Interactive,0.8660687083024938,0.7967832116382944,0.8660687083024938,0.8660687083024938,0.8660687083024938
Total Blocking Time,-0.09152745755426939,-0.16422929456771415,-0.8473972191933755,0.07173029132116954,0.1428498547851611
