Gatsby - SSG.csv,Gatsby - SSR.csv,Next.js - SSG.csv,Next.js - SSR.csv,Remix - SSR.csv
7.6, 2.1,7.3,2.4,2.1
7.6, 2.2,7.3,2.4,2.1
7.6, 2.2,7.3,2.4,2.1
7.6, 2.2,7.3,2.4,2.1
7.4, 2.0,7.3,2.4,2.1
7.4, 2.0,7.1,2.2,2.2
7.4, 2.0,7.1,2.2,2.1
7.4, 2.0,7.1,2.2,2.1
7.4, 2.0,7.1,2.2,2.1
7.4, 2.0,7.1,2.2,2.1
